Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
688,,1,,"CALLE 45 GLORIETA DEL ESTADIO,Calarcá,Quindio",4.534244,-75.6396205,15,07,2024,1,,,,,,1,1,2,,2,1,,CAMIONETA-MOTOCICLETA,,2,,
689,,1,,"INTERSECCION CALLE 39 CRA 26 ESQUINA,Calarcá,Quindio",4.5306545,-75.6416746,16,07,2024,1,,,,,,1,2,1,,1,2,,AUTOMOVIL-MOTOCICLETA,,2,,
690,,1,,"VIA LA URIBE–CALARCA KM 83+540,Calarcá,Quindio",4.523339,-75.641921,20,07,2024,1,,,,,,1,2,,,,2,,MOTOCICLETA,,1,,
691,,1,,"LA ESPONOLA CALARCA KILOMETRO 83+41,85,Calarcá,Quindio",4.47897,-75.69908,24,07,2024,1,,,,,,,2,,,1,1,,TRACTO CAMION - MOTOCICLETA,1,1,,
692,,1,,"KM 0+200 VIA VIA CALARCA–CIRCASIA,Calarcá,Quindio",4.528772,-75.631856,24,07,2024,1,,,,,,1,2,,,,2,,MOTOCICLETA-MOTOCICLETA,,2,,
693,,1,,"VIA CALARCA - CAJAMARCA KM 5+060,Calarcá,Quindio",4.5276933,-75.632571,25,07,2024,,,1,,,,,1,1,,,1,1,AUTOMOVIL,,1,,
694,,1,,"BARCELONA CARRERA 12 CALLE 12,Calarcá,Quindio",41.3873974,2.168568,25,07,2024,1,,,,,,1,2,,,1,1,,MOTOCICLETA-BICICLETA,,2,,
695,,,1,"VIA LA URIBE–CALARCA KM 66+700,Calarcá,Quindio",4.491801,-75.690952,28,07,2024,1,,,,,1,,2,,,1,1,,AUTOMOVIL-MOTOCICLETA,,2,,
696,,1,,"VIA LA URIBE–CALARCA KM 76+200,Calarcá,Quindio",4.518781,-75.649461,30,07,2024,,,1,,,1,,1,,,1,,,,,,,
697,,1,,"VIA ARMENIA -+ IBAGUE KM 1+100 CALARCA,Calarcá,Quindio",4.529645,-75.633093,01,08,2024,1,,,,,1,,1,1,,1,,1,AUTOMOVIL - MOTOCICLETA,,2,,
698,,1,,"QUEBRADANEGRA - RIO DANUBIO,Calarcá,Quindio",4.451051,-75.690078,05,08,2024,1,,,,,1,,2,,,,2,,AUTOMOVIL - BICICLETA,,2,,
699,,1,,"VIA LA URIBE–CALARCA KM 77+350,Calarcá,Quindio",4.518852,-75.644932,10,08,2024,1,,,,,1,,2,,,1,1,,MOTOCICLETA - TRACTOCAMION,,2,,
700,,1,,"VIA ARMENIA - CALARCA KM 3+018 MTS,Calarcá,Quindio",4.525734,-75.619843,15,08,2024,,,,1,,,1,2,,,1,1,,CAMIÓN,1,,,
701,,1,,"CARRERA 26 CALLE 35,Calarcá,Quindio",4.5233069,-75.6443833,17,08,2024,,1,,,,,1,1,1,,1,1,,MOTOCICLETA - PEATON,,1,,
702,,1,,"VIA LA URIBE–CALARCA KM 83+507,Calarcá,Quindio",4.523289,-75.641955,20,08,2024,,1,,,,,1,,2,,1,,1,MOTOCICLETA - PEATON,,,1,
703,,1,,"CARRERA 24 CALLE 30,Calarcá,Quindio",4.5241522,-75.6419001,23,08,2024,1,,,,,,1,1,2,,1,2,,AUTOMOVIL - MOTOCICLETA,,2,,
704,,1,,"LA ESPANOLA - CALARCA KM 84+480 CON CARRERA 24,Calarcá,Quindio",4.5285541,-75.6409661,25,08,2024,1,,,,,,1,2,1,,1,2,,MOTOCICLETA - MOTOCICLETA,,2,,
705,,1,,"VIA VIA ARMENIA–IBAGUE KM 2+900 CALARCA,Calarcá,Quindio",4.525514,-75.621636,26,08,2024,1,,,,,,1,2,,,1,1,,CAMIONETA - AUTOMOVIL,,2,,
706,,1,,"FINCA LA JOYA KM 71+300,Calarcá,Quindio",4.5011377,-75.6659337,27,08,2024,1,,,,,1,,2,1,,1,2,,AUTOMOVIL - MOTOCICLETA,,2,,
707,,1,,"AVENIDA COLON CALLE 30 CRA 26 ESQUINA,Calarcá,Quindio",4.524655,-75.6431642,28,08,2024,1,,,,,,1,1,1,,1,1,,MOTOCICLETA - AUTOMOVIL,,2,,
708,,1,,"VIA CALARCA - CAJAMARCA KM 6+500,Calarcá,Quindio",4.4741455,-75.5484568,28,08,2024,,,1,,,1,,1,1,,,2,,AUTOMOVIL ,,1,,
